Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
6,77017392,8,4,56,11601,20,0,7.0,5.656854,7300,0,2900.25,3563.297,151.3554237,0.155808963,7001581.0,22000000.0,73200000,1,77000000,11000000.0,27500000.0,73200000,1,68465,22821.666,25958.125,51155,185,0,0,0,0,172,92,0.10387264,0.05193632,0,7300,897.1539,2259.6868,5106184.0,0,0,0,0,1,0,0,0,0,971.9167,7.0,2900.25,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,3770298.0,0.0,3770298,3770298,73200000.0,0.0,73200000,73200000,1
6,20726723,18,15,1343,20843,708,0,74.611115,199.5407,2896,0,1389.5333,1356.213,1070.405582,1.59214749,647710.1,2451774.8,10000000,19,20700000,1219219.0,3305906.2,10000000,49,20100000,1436977.8,3637239.0,10000000,191,0,0,0,0,584,488,0.8684441,0.7237034,0,2896,652.5294,1114.8108,1242803.1,0,0,0,1,0,0,0,0,0,672.30304,74.611115,1389.5333,0,0,0,0,0,0,18,1343,15,20843,29200,123,4,32,74318.5,80964.43,131569,17068,9985476.0,36024.97,10000000,9960002,0
6,3567947,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,6.726557317,1.121092886,1189315.6,2057155.9,3564714,3,3567947,1189315.6,2057155.9,3564714,3,0,0.0,0.0,0,0,0,0,0,0,80,0,1.1210929,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,81260687,8,5,56,11607,20,0,7.0,5.656854,10135,0,2321.4,4413.202,143.5257371,0.159978958,6771724.0,21300000.0,74100000,1,80200000,11500000.0,27700000.0,74100000,1,1062210,265552.5,529648.06,1060024,190,0,0,0,0,172,112,0.09844859,0.061530367,0,10135,833.5,2705.0442,7317264.5,0,0,0,0,1,0,0,0,0,897.61536,7.0,2321.4,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1023.0,0.0,1023,1023,40100000.0,48200000.0,74100000,6048854,1
17,252,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1277777.778,15873.01587,84.0,143.76022,250,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,7936.508,7936.508,32,129,70.8,53.12909,2822.7,0,0,0,0,0,0,0,0,1,88.5,32.0,129.0,0,0,0,0,0,0,2,64,2,258,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
6,8004267,7,8,11613,56,5755,0,1659.0,2421.0935,20,0,7.0,5.656854,1457.847421,1.874000455,571733.4,1636810.9,6121389,1,8004267,1334044.5,2701311.8,6752743,3,6737274,962467.7,2286068.2,6121389,1,0,0,0,0,152,172,0.87453353,0.9994669,0,5755,729.6875,1749.6226,3061179.0,0,0,0,0,1,1,0,0,1,778.3333,1659.0,7.0,0,0,0,0,0,0,7,11613,8,56,229,256,5,20,631221.0,0.0,631221,631221,6121389.0,0.0,6121389,6121389,0
6,10281734,6,0,36,0,6,6,6.0,0.0,0,0,0.0,0.0,3.501354927,0.583559155,2056346.8,4597575.5,10300000,2,10300000,2056346.8,4597575.5,10300000,2,0,0.0,0.0,0,0,0,0,0,0,120,0,0.58355916,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.0,6.0,0.0,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,994.0,0.0,994,994,10300000.0,0.0,10300000,10300000,1
17,105368,4,4,152,400,38,38,38.0,0.0,100,100,100.0,0.0,5238.782173,75.92437932,15052.571,25773.82,57034,3,105200,35066.668,60730.32,105192,4,57209,19069.666,32985.473,57158,3,0,0,0,0,80,80,37.96219,37.96219,38,100,65.55556,32.67687,1067.7778,0,0,0,0,0,0,0,0,1,73.75,38.0,100.0,0,0,0,0,0,0,4,152,4,400,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
6,89432937,8,6,56,11607,20,0,7.0,5.656854,5840,0,1934.5,2538.9192,130.4105667,0.156541879,6879456.5,24400000.0,87900000,1,88100000,12600000.0,33200000.0,87900000,1,1314850,262970.0,587362.7,1313676,3,0,0,0,0,172,132,0.089452505,0.06708938,0,5840,777.93335,1804.899,3257660.2,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,181028.0,0.0,181028,181028,87900000.0,0.0,87900000,87900000,1
6,74056,3,4,26,11601,20,0,8.666667,10.263203,8760,0,2900.25,4128.3193,157002.8087,94.52306363,12342.667,26649.607,66451,4,7110,3555.0,5021.8726,7106,4,73963,24654.334,36372.598,66451,186,0,0,0,0,72,92,40.509884,54.01318,0,8760,1453.375,3113.9526,9696701.0,0,0,0,1,0,0,0,0,1,1661.0,8.666667,2900.25,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
